time_operate,x_east,y_north,cte,yaw_control
35.2,661488.0287864397,1509554.3878962928,0.6367565674998693,42.11355545019329
35.36,661488.0276523482,1509554.5722721054,0.6379701937882954,42.316673233634546
35.52,661488.0084874392,1509554.75653701,0.621153052237008,41.11053221151441
35.68,661488.043528391,1509554.9226970552,0.6583068508834897,44.120440670590185
35.84,661488.0423942991,1509555.1070728672,0.6595204767924479,44.32722197254363
36.0,661488.0413736161,1509555.2730110984,0.6606127397595025,44.52472264973301
36.16,661488.0403529331,1509555.4389493293,0.6617050028214241,44.72240901904253
36.32,661488.0392188407,1509555.6233251418,0.6629186280663134,44.92976795491518
36.48,661488.0380847482,1509555.8077009541,0.6641322535009367,45.13733322191096
36.64,661488.018919839,1509555.9919658585,0.6473151116650484,43.93563972769472
36.8,661487.9998683395,1509556.1577931824,0.6303766075513253,42.72160043010805
36.96,661487.9808168372,1509556.3236205063,0.6134381007813268,41.50468137918099
37.12,661487.9796827445,1509556.5079963184,0.6146517259313492,41.703834934291066
37.28,661487.978662061,1509556.67393455,0.615743988424069,41.8937078867553
37.44,661487.9594971522,1509556.8581994546,0.5989268469676484,40.683788417139
37.6,661487.9584764687,1509557.0241376865,0.6000191093655012,40.87098813276365
37.76,661487.9394249694,1509557.18996501,0.583080605631246,39.64890854444906
37.92,661487.9203734702,1509557.3557923338,0.5661421019918577,38.42394941791538
38.08,661487.9013219684,1509557.5216196575,0.549203595696194,37.19611053812197
38.24,661487.8822704696,1509557.6874469817,0.5322650924362737,35.96539234956236
38.4,661487.8631055614,1509557.8717118867,0.5154479515490551,34.74128151212264
38.56,661487.8440540627,1509558.0375392104,0.4985094484788687,33.50482487888951
38.72,661487.8070851587,1509558.1848180457,0.46341881756794134,30.846536866823726
38.88,661487.7881470695,1509558.3322077887,0.4463589522199201,29.59174839155546
39.04,661487.7692089806,1509558.4795975315,0.42929908706163283,28.334059754009523
39.2,661487.7322400773,1509558.626876367,0.3942084570993752,25.664006054660323
39.36,661487.7133019887,1509558.7742661098,0.37714859213082186,24.397451847775407
39.52,661487.6762196738,1509558.9399825265,0.34217932235932563,21.728019290399782
39.68,661487.6572815855,1509559.0873722695,0.32511945786510715,20.452620167687808
39.84,661487.6201992742,1509559.253088686,0.29015019141395504,17.774342917038314
40.0,661487.5651995555,1509559.4002566147,0.23702879550932338,13.671168931713634
40.16,661487.528230654,1509559.5475354504,0.2019381673495383,10.968429423699817
40.32,661487.4912617528,1509559.694814286,0.16684753947435413,8.259724531146091
40.48,661487.4362620383,1509559.841982215,0,0
40.64,661487.4174373606,1509559.9709343766,0,0
40.8,661487.3804684604,1509560.1182132121,0,0
40.96,661487.3434995605,1509560.2654920476,0,0
41.12,661487.3066440673,1509560.3943333025,0,0
41.28,661487.269675168,1509560.5416121385,0,0
41.44,661487.2327062663,1509560.6888909745,0,0
41.6,661487.1777065548,1509560.8360589033,0,0
41.76,661487.1408510656,1509560.9649001579,-0.16736295402741538,-17.83714566417659
41.92,661487.1039955769,1509561.0937414125,-0.20257494142929205,-20.618118421565946
42.08,661487.0671400882,1509561.2225826678,-0.2377869285465678,-23.405077194566374
42.24,661487.0121403756,1509561.3697505966,-0.29090831837971304,-27.598000015676256
42.4,661486.9752848878,1509561.4985918514,-0.32612030464318603,-30.39997539601649
42.56,661486.9384293975,1509561.6274331063,-0.36133229337320033,-33.207937006831045
42.72,661486.9015739101,1509561.7562743616,-0.3965442792572054,-36.02188443325717
42.88,661486.8646050142,1509561.9035531979,-0.43163490191470594,-38.83233093386771
43.04,661486.8457803398,1509562.0325053593,-0.4488161244177453,-40.2487650302558
43.2,661486.8090382621,1509562.1429090332,-0.4841494722949843,-43.08707157497059
43.36,661486.754151964,1509562.271639381,-0.5373922193780146,-47.331362524741216
43.52,661486.7172964781,1509562.4004806364,-0.5726042038390151,-50.17524002735189
43.68,661486.6805544015,1509562.5108843104,-0.6079375507675843,-53.034590471410766
43.84,661486.6436989162,1509562.6397255657,-0.643149534469649,-55.890460621031664
44.0,661486.6069568373,1509562.7501292396,-0.6784828836750255,-58.76180394927579
44.16,661486.5881321642,1509562.8790814013,-0.6956641048499272,-60.220202098742604
44.32,661486.5513900857,1509562.9894850755,-0.730997453580969,-63.10047286687262
44.48,661486.5326788217,1509563.0999996567,-0.7483000373183064,-64.57728540472905
44.64,661486.4959367465,1509563.2104033309,-0.783633382918738,-67.4665040366589
44.8,661486.4591946714,1509563.3208070048,-0.8189667283294356,-70.36172932250932
44.96,661486.4404834078,1509563.4313215853,-0.8362693116873051,-71.85349660741
45.12,661486.4036279246,1509563.5601628402,-0.8714812933022963,-74.74818299324069
45.28,661486.38503007,1509563.65223984,-0.8889052396020695,-76.25836469535534
45.44,661486.366205398,1509563.7811920021,-0.9060864595437006,-77.75253454892501
45.6,661486.3294633215,1509563.8915956763,-0.9414198062825357,-80.66857696162218
45.76,661486.2927212478,1509564.0019993507,-0.9767531503650957,-83.59062583562391
45.92,661486.274009985,1509564.1125139312,-0.9940557328691625,-85.10921674552888
46.08,661486.255185311,1509564.241466093,-1.011236954992734,-86.62126235351623
46.24,661486.2364740486,1509564.3519806738,-1.0285395372122,-88.14571548796064
46.4,661486.2177627861,1509564.4624952553,-1.0458421194316656,-89.67311006138235
46.56,661486.1809073049,1509564.5913365104,-1.0810540991493174,-92.60342367621459
46.72,661486.1440518238,1509564.720177766,-1.1162660787721022,-95.53972332018304
46.88,661486.1071963431,1509564.8490190217,-1.151478057920552,-98.48200896360862
47.04,661486.0883716728,1509564.9779711836,-1.1686592762494443,-100.02081607022464
47.2,661486.0516296012,1509565.0883748583,-1.203992618055197,-102.98149547614273
47.36,661486.032804931,1509565.2173270201,-1.2211738362892224,-104.52923005056589
47.52,661486.032011071,1509565.346390089,-1.2203242938934244,-104.67042087365553
47.68,661486.0312172107,1509565.475453158,-1.2194747516873605,-104.81146728936939
47.84,661486.0123925409,1509565.6044053198,-1.2366559694470511,-106.36183378943124
48.0,661485.9934544625,1509565.751795063,-1.253715824169971,-107.9056341479279
48.16,661485.9746297929,1509565.8807472251,-1.2708970419296617,-109.46182163031182
48.32,661485.9558051233,1509566.009699387,-1.2880782594047513,-111.0209298974676
48.48,661485.9369804511,1509566.1386515491,-1.3052594796309833,-112.58295918665097
48.64,661485.9360731824,1509566.2861521994,-1.304288574103548,-112.7289576131086
48.8,661485.9352793221,1509566.415215268,-1.3034390319923508,-112.88427796387393
48.96,661485.9164546528,1509566.5441674304,-1.3206202492777066,-114.4489183545089
49.12,661485.915547384,1509566.69166808,-1.319649343940005,-114.59752812663797
49.28,661485.9147535235,1509566.8207311488,-1.318799801828808,-114.7554598082755
49.44,661485.9139596631,1509566.9497942175,-1.317950259812478,-114.91324707516989
49.6,661485.8951349941,1509567.0787463796,-1.3351314769080997,-116.48035435970277
49.76,661485.8943411335,1509567.2078094485,-1.3342819349866366,-116.64091801877636
49.92,661485.893547273,1509567.3368725176,-1.3334323930651737,-116.80133725572335
50.08,661485.8927534124,1509567.465935586,-1.3325828512385776,-116.96161207795939
50.24,661485.891846143,1509567.613436236,-1.3316119464700777,-117.11225553691634
50.4,661485.9089696817,1509567.7610477926,-1.3126102829690942,-115.85326953194436
50.56,661485.9081758208,1509567.8901108615,-1.311760741427099,-116.01000461771133
50.72,661485.9073819598,1509568.0191739304,-1.310911199979971,-116.16659528883196
50.88,661485.9246189066,1509568.148347906,-1.2920309002746937,-114.91357716486702
51.04,661485.9238250455,1509568.277410975,-1.2911813589224324,-115.06681377040745
51.2,661485.9230311841,1509568.4064740436,-1.2903318177599052,-115.21990596874952
51.36,661485.9402681332,1509568.5356480193,-1.2714515158726876,-113.9633891792449
51.52,661485.9394742716,1509568.6647110884,-1.2706019748998942,-114.11312731909999
51.68,661485.9567112175,1509568.7938850643,-1.2517216760484198,-112.85325669361322
51.84,661485.9559173558,1509568.9229481327,-1.2508721353602275,-112.99964078294545
52.0,661485.9730408924,1509569.0705596902,-1.231870474041184,-111.72692918064708
52.16,661485.9901644287,1509569.2181712468,-1.212868813006742,-110.45098731817171
52.32,661485.9893705666,1509569.3472343155,-1.2120192726980175,-110.59076645044988
52.48,661486.0064941025,1509569.4948458732,-1.1930176120430431,-109.3114499134092
52.64,661486.023617638,1509569.6424574303,-1.1740159517675366,-108.02890312372017
52.8,661486.0407411733,1509569.7900689875,-1.155014291871498,-106.74312608144731
52.96,661486.0579781174,1509569.9192429634,-1.136133994822496,-105.463605690745
53.12,661486.0931324586,1509570.0669654275,-1.099101578375914,-102.76192447623549
53.28,661486.1103694021,1509570.1961394034,-1.0802212819909809,-101.4728989761492
53.44,661486.1274929361,1509570.343750961,-1.061219623233346,-100.17117692900332
53.6,661486.1447298818,1509570.4729249373,-1.0423393245716055,-98.87571131856475
53.76,661486.1798842187,1509570.6206474015,-1.0053069124889042,-96.15808535123716
53.92,661486.1970077519,1509570.768258959,-0.9863052545850722,-94.84362792801771
54.08,661486.2321620935,1509570.9159814236,-0.9492728377590223,-92.11647579800487
54.24,661486.2674298411,1509571.045266307,-0.9123617868157521,-89.39251532818847
54.4,661486.2845533732,1509571.1928778652,-0.8933601299554568,-88.06225731517786
54.56,661486.3197077134,1509571.34060033,-0.8563277145524114,-85.31930462521422
54.72,661486.3730062654,1509571.4699961208,-0.8013859087662034,-81.17007937838025
54.88,661486.4081606019,1509571.617718586,-0.7643534970629701,-78.41149136002876
55.04,661486.4433149379,1509571.765441051,-0.7273210857392046,-75.64660786135073
55.2,661486.4785826828,1509571.8947259353,-0.6904100374522099,-72.884915801332
55.36,661486.5137370205,1509572.042448401,-0.6533776245157059,-70.10746178845237
55.52,661486.5490047646,1509572.1717332853,-0.6164665769876468,-67.33319939935166
55.68,661486.584272511,1509572.3010181698,-0.5795555271827805,-64.55266195419316
55.84,661486.6194268446,1509572.4487406355,-0.5425231182306894,-61.75636298602927
56.0,661486.6727253923,1509572.5781364276,-0.4875813167134953,-57.55379129152943
56.16,661486.7078797249,1509572.7258588937,-0.450548908899808,-54.74185679657478
56.32,661486.7610648618,1509572.8736922673,-0.39548574633804967,-50.5141626936351
56.48,661486.7963326031,1509573.0029771524,-0.35857470156113297,-47.696058900301
56.64,661486.8495177386,1509573.1508105267,-0.3035115404223793,-43.45272929335001
56.8,661486.8846720719,1509573.298532993,-0.2664791318497562,-40.609502877099864
56.96,661486.9378572062,1509573.4463663674,-0.21141597175453924,-36.350517104871216
57.12,661486.9730115384,1509573.5940888338,-0.1743835644151868,-33.4916345383523
57.28,661486.9901350632,1509573.7417003931,-0.1553819148596485,-32.03592079854646
57.44,661487.0252893919,1509573.8894228602,0,0
57.6,661487.0965053276,1509574.0373671427,0,0
57.76,661487.149803869,1509574.1667629364,0,0
57.92,661487.1850716085,1509574.2960478228,0,0
58.08,661487.220225935,1509574.4437702901,0,0
58.24,661487.2735244774,1509574.5731660842,0,0
58.4,661487.3267096062,1509574.7209994604,0.19363459183196627,4.779715395989074
58.56,661487.361863931,1509574.8687219282,0.23066699177169467,4.779715395989074
58.72,661487.3971316655,1509574.9980068146,0.2675780298130561,1.0725744202053438
58.88,661487.4322859893,1509575.1457292826,0.30461042889898177,4.012885321820374
59.04,661487.4854711157,1509575.2935626593,0.3596735810253728,8.368955696453183
59.2,661487.5386562442,1509575.4413960355,0.41473673523883725,12.734386970094013
