time_operate,Track,x_east,y_north,cte,yaw_control
283.36,Curve4_set6,661485.7522627044,1509519.9496277755,-1.4852142305019838,189.86773491478368
283.52,Curve4_set6,661485.7521492996,1509519.968065356,-1.488274624865055,189.29464449713424
283.68,Curve4_set6,661485.7521492996,1509519.968065356,-1.488274624865055,188.99698957216123
283.84,Curve4_set6,661485.7340050538,1509519.9863920338,-1.5091160821045408,186.81943520418665
284.0,Curve4_set6,661485.7340050538,1509519.9863920338,-1.5091160821045408,186.51761198776572
284.16,Curve4_set6,661485.7338916489,1509520.0048296142,-1.5121764765420782,185.93974119307893
284.32,Curve4_set6,661485.7338916489,1509520.004829614,-1.5121764764676118,185.6373059044874
284.48,Curve4_set6,661485.7337782441,1509520.0232671944,-1.5152368709051491,185.05882303092795
284.64,Curve4_set6,661485.7337782441,1509520.0232671944,-1.5152368709051491,184.7557756567469
284.8,Curve4_set6,661485.7336648392,1509520.041704775,-1.5182972655660854,184.17668068414946
284.96,Curve4_set6,661485.7516956801,1509520.0418156784,-1.5005162029130694,185.47687308233822
285.12,Curve4_set6,661485.7696131162,1509520.0603641619,-1.4857955347720568,186.50457410807496
285.28,Curve4_set6,661485.7694997113,1509520.0788017423,-1.4888559292840604,185.93136741613787
285.44,Curve4_set6,661485.7513554655,1509520.0971284197,-1.509697386374614,183.7536968007131
285.6,Curve4_set6,661485.7512420607,1509520.1155660003,-1.5127577808866175,183.17570973845545
285.76,Curve4_set6,661485.7511286559,1509520.1340035808,-1.5158181753241549,182.59711060401224
285.92,Curve4_set6,661485.7510152509,1509520.1524411615,-1.5188785698361584,182.0178993839647
286.08,Curve4_set6,661485.7509018461,1509520.1708787417,-1.521938964348162,181.43807608501473
286.24,Curve4_set6,661485.7507884412,1509520.1893163223,-1.5249993588601658,180.85764070716232
286.4,Curve4_set6,661485.7506750363,1509520.207753903,-1.5280597533721694,180.2765932504076
286.56,Curve4_set6,661485.7504482266,1509520.2446290639,-1.5341805423961765,179.4188861297677
286.72,Curve4_set6,661485.7502214168,1509520.2815042252,-1.5403013314201839,178.55995485132306
286.88,Curve4_set6,661485.7499946071,1509520.3183793863,-1.546422120444191,177.69979941507353
287.04,Curve4_set6,661485.7498812021,1509520.3368169668,-1.5494825149561948,177.11446740600195
287.2,Curve4_set6,661485.7496543925,1509520.3736921279,-1.5556033039057358,176.2524757397621
287.36,Curve4_set6,661485.7495409875,1509520.3921297085,-1.5586636984922055,175.6653074872814
287.52,Curve4_set6,661485.785489264,1509520.4107890949,-1.5261619682939076,178.2852308114694
287.68,Curve4_set6,661485.8032932947,1509520.447775159,-1.5145016951116965,179.03175505884604
287.84,Curve4_set6,661485.8030664849,1509520.4846503204,-1.5206224842846365,178.17675953642458
288.0,Curve4_set6,661485.8209839205,1509520.503198804,-1.5059018165904219,179.20043926558577
288.16,Curve4_set6,661485.8387879512,1509520.540184868,-1.4942415434826772,179.95101553658628
288.32,Curve4_set6,661485.8386745462,1509520.5586224487,-1.4973019380691472,179.37611963619014
288.48,Curve4_set6,661485.8384477362,1509520.5954976103,-1.5034227273910197,178.52456405174343
288.64,Curve4_set6,661485.8382209264,1509520.6323727712,-1.5095435165639595,177.67178432286605
288.8,Curve4_set6,661485.8379941164,1509520.669247932,-1.5156643057368995,176.81778043615404
288.96,Curve4_set6,661485.8557981469,1509520.7062339964,-1.5040040327780875,177.5664041958915
289.12,Curve4_set6,661485.8375404965,1509520.7429982543,-1.5279058840827793,175.10965640165267
289.28,Curve4_set6,661485.8373136865,1509520.7798734154,-1.5340266733301853,174.25198003472008
289.44,Curve4_set6,661485.8369734716,1509520.835186157,-1.5432078571640615,173.1170319182384
289.6,Curve4_set6,661485.8367466617,1509520.8720613183,-1.5493286463370013,172.2562951634064
289.76,Curve4_set6,661485.8365198517,1509520.9089364787,-1.5554494355099413,171.39433425073986
289.92,Curve4_set6,661485.8543238819,1509520.9459225435,-1.543789162997927,172.13500094422153
290.08,Curve4_set6,661485.854210477,1509520.9643601237,-1.5468495575099306,171.55019552663924
290.24,Curve4_set6,661485.853983667,1509521.001235285,-1.5529703468318032,170.68873041830435
290.4,Curve4_set6,661485.8537568569,1509521.038110446,-1.5590911361536757,169.82604115210503
290.56,Curve4_set6,661485.8354992068,1509521.0748747045,-1.5829929872349686,167.35827595734176
290.72,Curve4_set6,661485.8352723967,1509521.111749865,-1.5891137764823746,166.48958216977869
290.88,Curve4_set6,661485.8351589916,1509521.1301874456,-1.5921741712177773,165.89571180934894
291.04,Curve4_set6,661485.8529630218,1509521.16717351,-1.5805138985568306,166.62903356912273
291.2,Curve4_set6,661485.8528496168,1509521.1856110906,-1.583574293292233,166.03688318427805
291.36,Curve4_set6,661485.8527362118,1509521.2040486713,-1.586634687878703,165.44412073392
291.52,Curve4_set6,661485.8526228068,1509521.2224862517,-1.589695082465173,164.85074620464468
291.68,Curve4_set6,661485.8525094017,1509521.2409238322,-1.5927554772005754,164.25675958301832
291.84,Curve4_set6,661485.8522825916,1509521.2777989933,-1.5988762665969143,163.38611328402845
292.0,Curve4_set6,661485.8341383466,1509521.2961256707,-1.6197177228683384,161.18643867502664
292.16,Curve4_set6,661485.8520557816,1509521.3146741542,-1.604997055769854,162.19029930273624
292.32,Curve4_set6,661485.8518289715,1509521.3515493157,-1.611117845166193,161.31720468803246
292.48,Curve4_set6,661485.8517155666,1509521.369986896,-1.6141782396781965,160.7189335340165
292.64,Curve4_set6,661485.8514887565,1509521.4068620568,-1.6202990290745354,159.84400268253114
292.8,Curve4_set6,661485.8512619464,1509521.4437372182,-1.6264198184708742,158.96784767316643
292.96,Curve4_set6,661485.8510351363,1509521.4806123793,-1.632540607867213,158.0904685059225
293.12,Curve4_set6,661485.8508083262,1509521.5174875401,-1.6386613971890855,157.2118651875162
293.28,Curve4_set6,661485.8506949211,1509521.5359251206,-1.6417217917755553,156.60808531637878
293.44,Curve4_set6,661485.850468111,1509521.5728002824,-1.6478425813208268,155.72764574104013
293.6,Curve4_set6,661485.8503547059,1509521.5912378626,-1.6509029759072968,155.1220296330764
293.76,Curve4_set6,661485.850241301,1509521.609675443,-1.6539633704937666,154.51580144619538
293.92,Curve4_set6,661485.8320970561,1509521.6280021209,-1.6748048267651907,152.30510941641415
294.08,Curve4_set6,661485.831983651,1509521.646439701,-1.677865221426127,151.69410085264465
294.24,Curve4_set6,661485.831870246,1509521.6648772813,-1.6809256159381305,151.08248022337673
294.4,Curve4_set6,661485.8316434359,1509521.7017524426,-1.6870464054089358,150.19419988992252
294.56,Curve4_set6,661485.8315300308,1509521.720190023,-1.690106800069872,149.58074301042427
294.72,Curve4_set6,661485.8314166258,1509521.7386276037,-1.6931671948052744,148.966674045277
294.88,Curve4_set6,661485.8313032207,1509521.7570651842,-1.6962275893917445,148.3519930146163
295.04,Curve4_set6,661485.813158976,1509521.7753918616,-1.7170690453653032,146.132848167923
295.2,Curve4_set6,661485.8129321659,1509521.812267023,-1.7231898348361083,145.23733914858326
295.36,Curve4_set6,661485.8128187609,1509521.830704603,-1.7262502294970445,144.6166535831996
295.52,Curve4_set6,661485.8307361954,1509521.8492530868,-1.7115295628453584,145.5992076692823
295.68,Curve4_set6,661485.8306227904,1509521.8676906675,-1.7145899575062946,144.98085415829678
295.84,Curve4_set6,661485.8305093853,1509521.886128248,-1.7176503521672308,144.36188856837902
296.0,Curve4_set6,661485.8482000098,1509521.9415518933,-1.7090504749863498,144.79406741966108
296.16,Curve4_set6,661485.8478597945,1509521.9968646346,-1.718231659118091,143.62411451598075
296.32,Curve4_set6,661485.8476329844,1509522.0337397961,-1.7243524485888961,142.72837297389054
296.48,Curve4_set6,661485.8472927691,1509522.0890525375,-1.7335336327206374,141.55535967548968
296.64,Curve4_set6,661485.8470659589,1509522.1259276988,-1.7396544221914425,140.65655773867888
296.8,Curve4_set6,661485.8288083093,1509522.1626919566,-1.763556272677005,138.15267994044285
296.96,Curve4_set6,661485.8285814992,1509522.1995671177,-1.7696770621478102,137.24787347564086
297.12,Curve4_set6,661485.8462721233,1509522.2549907628,-1.7610771852647942,137.66964695805933
297.28,Curve4_set6,661485.846045313,1509522.2918659246,-1.767197974884532,136.765336297306
297.44,Curve4_set6,661485.8458185028,1509522.3287410855,-1.773318764355337,135.85980149206253
297.6,Curve4_set6,661485.8455916926,1509522.3656162468,-1.7794395538261423,134.95304252892478
297.76,Curve4_set6,661485.8453648824,1509522.402491408,-1.7855603432969473,134.04505940789292
297.92,Curve4_set6,661485.8452514773,1509522.4209289886,-1.7886207380323498,133.41189973410027
298.08,Curve4_set6,661485.8450246671,1509522.4578041497,-1.7947415274286886,132.50208038294406
298.24,Curve4_set6,661485.8447978569,1509522.4946793108,-1.8008623169739602,131.5910368604748
298.4,linear_SN1,661485.8445710465,1509522.5315544715,-1.9529031413400948,96.95991002135631
298.56,linear_SN1,661485.8444576415,1509522.549992052,-1.952781774603512,96.6374037251272
298.72,linear_SN1,661485.8443442364,1509522.5684296326,-1.9526604078669294,96.31491806124328
298.88,linear_SN1,661485.8441174261,1509522.6053047942,-1.952417674678365,96.00194024525598
299.04,linear_SN1,661485.8438906159,1509522.6421799553,-1.9521749413000669,95.68900370874225
299.2,linear_SN1,661485.8256329665,1509522.6789442129,-1.9699629976757533,93.96664160183377
299.36,linear_SN1,661485.8254061562,1509522.715819374,-1.969720264392322,93.65072235299473
299.52,linear_SN1,661485.8432101851,1509522.7528054386,-1.9514467415446397,94.74431118905136
299.68,linear_SN1,661485.8249525358,1509522.7895696964,-1.9692347977305924,93.02207289093282
299.84,linear_SN1,661485.8247257255,1509522.8264448575,-1.968992064542028,92.70627742866867
300.0,linear_SN1,661485.8425297542,1509522.863430922,-1.9507185417892128,93.79999005128411
300.16,linear_SN1,661485.8423029439,1509522.900306083,-1.9504758085057814,93.48734235994576
300.32,linear_SN1,661485.8420761337,1509522.9371812444,-1.9502330752223502,93.1747359332656
300.48,linear_SN1,661485.8417359182,1509522.9924939857,-1.9498689753920702,92.87165799421078
300.64,linear_SN1,661485.8413957027,1509523.0478067284,-1.949504875656657,92.56864194471139
300.8,linear_SN1,661485.8231380535,1509523.084570986,-1.9672929316528758,90.84673377862535
300.96,linear_SN1,661485.822684433,1509523.1583213087,-1.96680746518088,90.55024289436025
301.12,linear_SN1,661485.8404884613,1509523.1953073735,-1.9485339428075328,91.64432686920406
301.28,linear_SN1,661485.8401482459,1509523.2506201155,-1.9481698428823857,91.34153779007556
301.44,linear_SN1,661485.8217771917,1509523.305821954,-1.9658365322368887,89.62934380994406
301.6,linear_SN1,661485.8214369761,1509523.3611346956,-1.9654724325963426,89.32361326836528
301.76,linear_SN1,661485.8031793272,1509523.3978989539,-1.9832604883079603,87.59899063984676
301.92,linear_SN1,661485.8028391118,1509523.4532116961,-1.9828963884776802,87.2902980405674
302.08,linear_SN1,661485.8024988963,1509523.508524438,-1.9825322885525334,86.98166734567495
302.24,linear_SN1,661485.8201895193,1509523.5639480834,-1.9641373998220713,88.08256530868124
302.4,linear_SN1,661485.8017050601,1509523.6375875024,-1.9816827224399916,86.37714408166867
302.56,linear_SN1,661485.8014782497,1509523.674462664,-1.9814399892514272,86.05923247220395
302.72,linear_SN1,661485.7831071957,1509523.7296645022,-1.9991066783213292,84.34138258943696
302.88,linear_SN1,661485.8006844134,1509523.8035257284,-1.9805904231388856,85.44895012173396
303.04,linear_SN1,661485.8003441978,1509523.8588384704,-1.9802263234983395,85.14071141870183
303.2,linear_SN1,661485.7818597388,1509523.9324778896,-1.9977716458316588,83.4325550969116
303.36,linear_SN1,661485.7814061181,1509524.0062282123,-1.997286179359663,83.13088283123611
303.52,linear_SN1,661485.7809524973,1509524.0799785352,-1.9968007131722685,82.82929307261361
303.68,linear_SN1,661485.7804988765,1509524.1537288576,-1.9963152468900067,82.52778585065873
303.84,linear_SN1,661485.7800452556,1509524.2274791806,-1.995829780702612,82.22636115055607
304.0,linear_SN1,661485.7795916348,1509524.3012295032,-1.9953443143254832,81.92501899453677
304.16,linear_SN1,661485.779138014,1509524.374979826,-1.9948588481380884,81.62375935297008
304.32,linear_SN1,661485.778684393,1509524.4487301488,-1.9943733819506937,81.32258224065527
304.48,linear_SN1,661485.7782307721,1509524.5224804713,-1.993887915763299,81.0214876575923
304.64,linear_SN1,661485.7777771512,1509524.5962307942,-1.9934024495759042,80.72047560378122
304.8,linear_SN1,661485.7953543679,1509524.6700920204,-1.9748861953421302,81.8290127808074
304.96,linear_SN1,661485.7768699093,1509524.7437314393,-1.9924315173908487,80.12176430305092
305.12,linear_SN1,661485.7943337206,1509524.8360302465,-1.97379389679996,81.23995374668428
305.28,linear_SN1,661485.7938800995,1509524.909780569,-1.9733084307074322,80.94235766868117
305.44,linear_SN1,661485.7933130732,1509525.0019684725,-1.9727015981629226,80.65433133546522
305.6,linear_SN1,661485.7927460468,1509525.0941563759,-1.9720947657132801,80.36640815636606
305.76,linear_SN1,661485.8102098576,1509525.1864551825,-1.9534571455967262,81.4880548107058
305.92,linear_SN1,661485.8096428311,1509525.2786430863,-1.9528503133368178,81.20340317371145
306.08,linear_SN1,661485.7910449674,1509525.3707200862,-1.9702742685540866,79.50938804111027
306.24,linear_SN1,661485.8083953727,1509525.4814564737,-1.951515282175285,80.64083138068702
306.4,linear_SN1,661485.7897975089,1509525.5735334738,-1.9689392375822878,78.94704318855179
306.56,linear_SN1,661485.7893438876,1509525.6472837967,-1.9684537717743609,78.65027238036845
306.72,linear_SN1,661485.770746024,1509525.7393607965,-1.9858777269916297,76.9536046598329
306.88,linear_SN1,661485.7521481605,1509525.8314377964,-2.0033016821140315,75.25397487432616
307.04,linear_SN1,661485.7155194602,1509525.9234038931,-2.038756424334143,72.14191638902062
307.2,linear_SN1,661485.6790041653,1509525.996932409,-2.074332533006236,69.01434338198632
307.36,linear_SN1,661485.624344626,1509526.0887876018,-2.127818064790598,64.48074283179173
