lon1,lat1,lon2,lat2,distance_m,second_prev,second_now,time,speed_ms,speed_kmhr
100.4924705,13.64917833,100.4924718,13.6491775,0.17,54.58,54.72,00:54.7,1.214285714,4.371428571
100.4924692,13.64917933,100.4924705,13.64917833,0.18,54.72,54.87,00:54.9,1.2,4.32
100.4924677,13.64918017,100.4924692,13.64917933,0.19,54.87,55.01,00:55.0,1.357142857,4.885714286
100.4924663,13.649181,100.4924677,13.64918017,0.17,55.01,55.15,00:55.2,1.214285714,4.371428571
100.492465,13.649182,100.4924663,13.649181,0.18,55.15,55.3,00:55.3,1.2,4.32
100.4924637,13.64918283,100.492465,13.649182,0.17,55.3,55.44,00:55.4,1.214285714,4.371428571
100.4924623,13.64918383,100.4924637,13.64918283,0.18,55.44,55.58,00:55.6,1.285714286,4.628571429
100.492461,13.64918483,100.4924623,13.64918383,0.18,55.58,55.72,00:55.7,1.285714286,4.628571429
100.4924597,13.64918567,100.492461,13.64918483,0.17,55.72,55.87,00:55.9,1.133333333,4.08
100.4924583,13.6491865,100.4924597,13.64918567,0.17,55.87,56.01,00:56.0,1.214285714,4.371428571
100.492457,13.64918733,100.4924583,13.6491865,0.17,56.01,56.15,00:56.2,1.214285714,4.371428571
100.4924557,13.64918817,100.492457,13.64918733,0.17,56.15,56.3,00:56.3,1.133333333,4.08
100.4924543,13.649189,100.4924557,13.64918817,0.17,56.3,56.44,00:56.4,1.214285714,4.371428571
100.492453,13.64919,100.4924543,13.649189,0.18,56.44,56.58,00:56.6,1.285714286,4.628571429
100.4924515,13.64919083,100.492453,13.64919,0.19,56.58,56.73,00:56.7,1.266666667,4.56
100.4924502,13.64919167,100.4924515,13.64919083,0.17,56.73,56.87,00:56.9,1.214285714,4.371428571
100.4924487,13.6491925,100.4924502,13.64919167,0.19,56.87,57.01,00:57.0,1.357142857,4.885714286
100.4924473,13.64919333,100.4924487,13.6491925,0.17,57.01,57.15,00:57.1,1.214285714,4.371428571
100.4924458,13.64919433,100.4924473,13.64919333,0.2,57.15,57.3,00:57.3,1.333333333,4.8
100.4924445,13.64919517,100.4924458,13.64919433,0.17,57.3,57.44,00:57.4,1.214285714,4.371428571
100.4924432,13.649196,100.4924445,13.64919517,0.17,57.44,57.58,00:57.6,1.214285714,4.371428571
100.492442,13.649197,100.4924432,13.649196,0.17,57.58,57.73,00:57.7,1.133333333,4.08
100.4924407,13.64919783,100.492442,13.649197,0.17,57.73,57.87,00:57.9,1.214285714,4.371428571
100.4924393,13.64919883,100.4924407,13.64919783,0.18,57.87,58.01,00:58.0,1.285714286,4.628571429
100.4924382,13.64919967,100.4924393,13.64919883,0.16,58.01,58.16,00:58.2,1.066666667,3.84
100.4924368,13.64920067,100.4924382,13.64919967,0.18,58.16,58.3,00:58.3,1.285714286,4.628571429
100.4924355,13.64920133,100.4924368,13.64920067,0.16,58.3,58.44,00:58.4,1.142857143,4.114285714
100.4924342,13.64920233,100.4924355,13.64920133,0.18,58.44,58.58,00:58.6,1.285714286,4.628571429
100.4924327,13.64920317,100.4924342,13.64920233,0.19,58.58,58.73,00:58.7,1.266666667,4.56
100.4924313,13.64920417,100.4924327,13.64920317,0.18,58.73,58.87,00:58.9,1.285714286,4.628571429
100.4924298,13.64920517,100.4924313,13.64920417,0.2,58.87,59.01,00:59.0,1.428571429,5.142857143
100.4924283,13.649206,100.4924298,13.64920517,0.19,59.01,59.16,00:59.2,1.266666667,4.56
100.492427,13.649207,100.4924283,13.649206,0.18,59.16,59.3,00:59.3,1.285714286,4.628571429
100.4924253,13.64920783,100.492427,13.649207,0.2,59.3,59.44,00:59.4,1.428571429,5.142857143
100.492424,13.64920883,100.4924253,13.64920783,0.18,59.44,59.59,00:59.6,1.2,4.32
100.4924227,13.64920967,100.492424,13.64920883,0.17,59.59,59.73,00:59.7,1.214285714,4.371428571
100.4924212,13.6492105,100.4924227,13.64920967,0.19,59.73,59.87,00:59.9,1.357142857,4.885714286
100.4924197,13.6492115,100.4924212,13.6492105,0.2,59.87,0.01,01:00.0,-0.003341129,-0.012028065
100.4924183,13.64921233,100.4924197,13.6492115,0.17,0.01,0.16,01:00.2,1.133333333,4.08
100.492417,13.64921333,100.4924183,13.64921233,0.18,0.16,0.3,01:00.3,1.285714286,4.628571429
100.4924155,13.64921417,100.492417,13.64921333,0.19,0.3,0.44,01:00.4,1.357142857,4.885714286
100.4924142,13.64921517,100.4924155,13.64921417,0.18,0.44,0.59,01:00.6,1.2,4.32
100.4924127,13.64921617,100.4924142,13.64921517,0.2,0.59,0.73,01:00.7,1.428571429,5.142857143
100.4924112,13.64921717,100.4924127,13.64921617,0.2,0.73,0.87,01:00.9,1.428571429,5.142857143
100.4924098,13.64921817,100.4924112,13.64921717,0.18,0.87,1.02,01:01.0,1.2,4.32
100.4924085,13.64921933,100.4924098,13.64921817,0.19,1.02,1.16,01:01.2,1.357142857,4.885714286
100.4924072,13.64922033,100.4924085,13.64921933,0.18,1.16,1.3,01:01.3,1.285714286,4.628571429
100.4924058,13.6492215,100.4924072,13.64922033,0.19,1.3,1.44,01:01.4,1.357142857,4.885714286
100.4924043,13.64922283,100.4924058,13.6492215,0.22,1.44,1.59,01:01.6,1.466666667,5.28
100.4924028,13.64922383,100.4924043,13.64922283,0.2,1.59,1.73,01:01.7,1.428571429,5.142857143
100.4924015,13.649225,100.4924028,13.64922383,0.19,1.73,1.87,01:01.9,1.357142857,4.885714286
100.4923998,13.649226,100.4924015,13.649225,0.21,1.87,2.02,01:02.0,1.4,5.04
100.4923983,13.649227,100.4923998,13.649226,0.2,2.02,2.16,01:02.2,1.428571429,5.142857143
100.4923968,13.649228,100.4923983,13.649227,0.2,2.16,2.3,01:02.3,1.428571429,5.142857143
100.4923952,13.649229,100.4923968,13.649228,0.21,2.3,2.45,01:02.5,1.4,5.04
100.4923938,13.64923,100.4923952,13.649229,0.18,2.45,2.59,01:02.6,1.285714286,4.628571429
100.4923925,13.64923083,100.4923938,13.64923,0.17,2.59,2.73,01:02.7,1.214285714,4.371428571
100.492391,13.64923183,100.4923925,13.64923083,0.2,2.73,2.87,01:02.9,1.428571429,5.142857143
100.4923895,13.64923283,100.492391,13.64923183,0.2,2.87,3.02,01:03.0,1.333333333,4.8
100.492388,13.64923383,100.4923895,13.64923283,0.2,3.02,3.16,01:03.2,1.428571429,5.142857143
100.4923867,13.64923483,100.492388,13.64923383,0.18,3.16,3.3,01:03.3,1.285714286,4.628571429
100.4923852,13.64923583,100.4923867,13.64923483,0.2,3.3,3.45,01:03.5,1.333333333,4.8
100.4923838,13.64923667,100.4923852,13.64923583,0.17,3.45,3.59,01:03.6,1.214285714,4.371428571
100.4923823,13.64923767,100.4923838,13.64923667,0.2,3.59,3.73,01:03.7,1.428571429,5.142857143
100.492381,13.64923867,100.4923823,13.64923767,0.18,3.73,3.88,01:03.9,1.2,4.32
100.4923795,13.64923967,100.492381,13.64923867,0.2,3.88,4.02,01:04.0,1.428571429,5.142857143
100.4923782,13.64924067,100.4923795,13.64923967,0.18,4.02,4.16,01:04.2,1.285714286,4.628571429
100.4923768,13.6492415,100.4923782,13.64924067,0.17,4.16,4.3,01:04.3,1.214285714,4.371428571
100.4923753,13.64924233,100.4923768,13.6492415,0.19,4.3,4.45,01:04.4,1.266666667,4.56
100.4923738,13.64924333,100.4923753,13.64924233,0.2,4.45,4.59,01:04.6,1.428571429,5.142857143
100.4923725,13.64924417,100.4923738,13.64924333,0.17,4.59,4.73,01:04.7,1.214285714,4.371428571
100.492371,13.64924517,100.4923725,13.64924417,0.2,4.73,4.88,01:04.9,1.333333333,4.8
100.4923695,13.649246,100.492371,13.64924517,0.19,4.88,5.02,01:05.0,1.357142857,4.885714286
100.4923682,13.649247,100.4923695,13.649246,0.18,5.02,5.16,01:05.2,1.285714286,4.628571429
100.4923668,13.649248,100.4923682,13.649247,0.18,5.16,5.31,01:05.3,1.2,4.32
100.4923653,13.649249,100.4923668,13.649248,0.2,5.31,5.45,01:05.5,1.428571429,5.142857143
100.492364,13.64925,100.4923653,13.649249,0.18,5.45,5.59,01:05.6,1.285714286,4.628571429
100.4923625,13.649251,100.492364,13.64925,0.2,5.59,5.73,01:05.7,1.428571429,5.142857143
100.4923613,13.64925217,100.4923625,13.649251,0.18,5.73,5.88,01:05.9,1.2,4.32
100.4923598,13.64925333,100.4923613,13.64925217,0.21,5.88,6.02,01:06.0,1.5,5.4
100.4923585,13.64925417,100.4923598,13.64925333,0.17,6.02,6.16,01:06.2,1.214285714,4.371428571
100.4923572,13.64925517,100.4923585,13.64925417,0.18,6.16,6.31,01:06.3,1.2,4.32
100.4923557,13.649256,100.4923572,13.64925517,0.19,6.31,6.45,01:06.5,1.357142857,4.885714286
100.4923543,13.64925717,100.4923557,13.649256,0.19,6.45,6.59,01:06.6,1.357142857,4.885714286
