raw_x_east,raw_y_north,x_east,y_north
661486.7728,1509626.658,661486.7694,1509624.866
661486.7706,1509627.027,661486.767,1509625.264
661486.7682,1509627.414,661486.7663,1509625.661
661486.7658,1509627.801,661486.7657,1509626.055
661486.7635,1509628.17,661486.7651,1509626.446
661486.7611,1509628.557,661486.7645,1509626.835
661486.7587,1509628.963,661486.7639,1509627.222
661486.7563,1509629.35,661486.7634,1509627.61
661486.7537,1509629.774,661486.7628,1509627.999
661486.7512,1509630.18,661486.7622,1509628.39
661486.7666,1509630.604,661486.7616,1509628.784
661486.764,1509631.028,661486.7609,1509629.184
661486.7614,1509631.452,661486.7602,1509629.588
661486.7768,1509631.876,661486.7613,1509629.995
661486.7742,1509632.3,661486.7624,1509630.409
661486.7717,1509632.706,661486.7634,1509630.823
661486.7692,1509633.112,661486.7645,1509631.238
661486.7668,1509633.499,661486.7655,1509631.653
661486.7643,1509633.904,661486.7666,1509632.066
661486.7619,1509634.292,661486.7677,1509632.477
661486.7775,1509634.697,661486.7688,1509632.887
661486.775,1509635.103,661486.7699,1509633.294
661486.7725,1509635.509,661486.771,1509633.7
661486.7699,1509635.933,661486.7703,1509634.105
661486.7673,1509636.357,661486.7696,1509634.511
661486.7828,1509636.762,661486.7707,1509634.917
661486.7801,1509637.205,661486.7718,1509635.326
661486.7774,1509637.647,661486.7729,1509635.741
661486.7927,1509638.09,661486.7757,1509636.159
661486.7899,1509638.533,661486.7785,1509636.584
661486.7691,1509638.993,661486.7777,1509637.013
661486.7662,1509639.454,661486.7768,1509637.448
661486.7814,1509639.915,661486.7777,1509637.889
661486.7785,1509640.395,661486.7785,1509638.335
661486.7757,1509640.856,661486.7794,1509638.785
661486.7728,1509641.317,661486.7784,1509639.241
661486.77,1509641.778,661486.7774,1509639.698
661486.7491,1509642.238,661486.7745,1509640.157
661486.7643,1509642.699,661486.7717,1509640.618
661486.7615,1509643.16,661486.7689,1509641.081
661486.7585,1509643.64,661486.7678,1509641.545
661486.7556,1509644.119,661486.7667,1509642.012
661486.7526,1509644.599,661486.7639,1509642.48
661486.7496,1509645.096,661486.761,1509642.95
661486.7465,1509645.594,661486.7581,1509643.424
661486.7433,1509646.11,661486.7551,1509643.903
661486.7403,1509646.608,661486.7521,1509644.387
661486.737,1509647.143,661486.7509,1509644.877
661486.7159,1509647.641,661486.7461,1509645.371
661486.7126,1509648.175,661486.7412,1509645.873
661486.7275,1509648.692,661486.7381,1509646.378
661486.7242,1509649.226,661486.7349,1509646.888
661486.7209,1509649.761,661486.7318,1509647.405
661486.7176,1509650.296,661486.7286,1509647.925
661486.6963,1509650.83,661486.7235,1509648.448
661486.693,1509651.365,661486.7185,1509648.974
661486.6717,1509651.9,661486.7116,1509649.503
661486.6685,1509652.416,661486.7048,1509650.03
661486.6832,1509652.951,661486.7015,1509650.561
661486.6802,1509653.448,661486.6983,1509651.088
661486.677,1509653.965,661486.6932,1509651.616
661486.6559,1509654.462,661486.6864,1509652.139
661486.6348,1509654.96,661486.6778,1509652.659
661486.6316,1509655.476,661486.6692,1509653.177
661486.6284,1509655.993,661486.6624,1509653.694
661486.6253,1509656.509,661486.6557,1509654.208
661486.6221,1509657.025,661486.6507,1509654.721
661486.6008,1509657.56,661486.6439,1509655.235
661486.5976,1509658.076,661486.6354,1509655.747
661486.5944,1509658.592,661486.6268,1509656.262
661486.5914,1509659.09,661486.6182,1509656.774
661486.5703,1509659.588,661486.6097,1509657.287
661486.5672,1509660.086,661486.6029,1509657.799
661486.5641,1509660.583,661486.5962,1509658.31
661486.5611,1509661.081,661486.5894,1509658.819
661486.5582,1509661.542,661486.5827,1509659.322
661486.5554,1509662.003,661486.5761,1509659.82
661486.5705,1509662.483,661486.573,1509660.312
661486.5496,1509662.943,661486.5682,1509660.799
661486.5468,1509663.404,661486.5635,1509661.28
661486.544,1509663.865,661486.5587,1509661.758
661486.5772,1509664.326,661486.5594,1509662.232
661486.5923,1509664.806,661486.5619,1509662.704
661486.5893,1509665.285,661486.5644,1509663.174
661486.5864,1509665.765,661486.567,1509663.642
661486.5834,1509666.244,661486.5695,1509664.112
661486.5805,1509666.723,661486.572,1509664.585
661486.5776,1509667.184,661486.5727,1509665.055
661486.5748,1509667.645,661486.5752,1509665.525
661486.59,1509668.106,661486.5795,1509665.995
661486.5872,1509668.567,661486.5839,1509666.465
661486.6024,1509669.028,661486.5864,1509666.936
661486.5996,1509669.471,661486.5871,1509667.402
661486.6149,1509669.913,661486.5897,1509667.865
661486.6122,1509670.356,661486.5923,1509668.324
661486.6276,1509670.78,661486.5967,1509668.778
661486.6432,1509671.186,661486.603,1509669.224
661486.6407,1509671.592,661486.6093,1509669.665
661486.6381,1509672.016,661486.6156,1509670.102
661486.6355,1509672.44,661486.6201,1509670.535
661486.6329,1509672.864,661486.6247,1509670.965
661486.6122,1509673.288,661486.6257,1509671.39
661486.6458,1509673.693,661486.6303,1509671.813
661486.6433,1509674.099,661486.6331,1509672.231
661486.6588,1509674.505,661486.6378,1509672.646
661486.6745,1509674.892,661486.6425,1509673.057
661486.6721,1509675.279,661486.6454,1509673.467
661486.6696,1509675.685,661486.6483,1509673.876
661486.6671,1509676.091,661486.6512,1509674.284
661486.6646,1509676.496,661486.6541,1509674.689
661486.6621,1509676.902,661486.657,1509675.093
661486.6775,1509677.326,661486.6635,1509675.497
661486.675,1509677.732,661486.6665,1509675.901
661486.6724,1509678.156,661486.6694,1509676.306
661486.6698,1509678.58,661486.6705,1509676.714
661486.6852,1509679.004,661486.6716,1509677.125
661486.6826,1509679.428,661486.6726,1509677.54
661486.6801,1509679.834,661486.6737,1509677.955
661486.6776,1509680.239,661486.6747,1509678.37
661486.6751,1509680.645,661486.6758,1509678.784
661486.6907,1509681.051,661486.6786,1509679.199
661486.7063,1509681.438,661486.6815,1509679.611
661486.6858,1509681.843,661486.6826,1509680.022
661486.7012,1509682.268,661486.6855,1509680.433
661486.6987,1509682.673,661486.6884,1509680.842
661486.6961,1509683.097,661486.6894,1509681.252
661486.6935,1509683.521,661486.6905,1509681.661
661486.6729,1509683.945,661486.6898,1509682.072
661486.6703,1509684.369,661486.6891,1509682.485
661486.6677,1509684.793,661486.6883,1509682.9
661486.665,1509685.218,661486.6858,1509683.317
661486.6626,1509685.623,661486.6814,1509683.735
661486.642,1509686.029,661486.677,1509684.154
661486.6215,1509686.434,661486.669,1509684.57
661486.5831,1509686.821,661486.6575,1509684.985
661486.5445,1509687.227,661486.6423,1509685.398
661486.5061,1509687.614,661486.6236,1509685.807
661486.4676,1509688.001,661486.603,1509686.213
661486.4293,1509688.369,661486.5789,1509686.613
661486.3728,1509688.756,661486.5494,1509687.009
661486.3166,1509689.106,661486.5146,1509687.398
661486.2602,1509689.474,661486.4744,1509687.783
661486.1859,1509689.824,661486.4288,1509688.163
661486.1297,1509690.174,661486.3796,1509688.537
661486.0554,1509690.524,661486.3268,1509688.907
661485.9632,1509690.855,661486.2687,1509689.27
661485.8711,1509691.168,661486.2052,1509689.625
661485.7609,1509691.499,661486.1345,1509689.975
661485.6508,1509691.812,661486.0567,1509690.319
661485.5587,1509692.125,661485.9752,1509690.656
661485.4486,1509692.438,661485.8885,1509690.989
661485.3387,1509692.714,661485.7963,1509691.313
661485.1926,1509693.008,661485.697,1509691.632
661485.0467,1509693.284,661485.5887,1509691.943
661484.9008,1509693.559,661485.4732,1509692.246
661484.7549,1509693.816,661485.3524,1509692.542
661484.6092,1509694.055,661485.2262,1509692.831
661484.4454,1509694.294,661485.0946,1509693.111
661484.2637,1509694.533,661484.9559,1509693.383
661484.082,1509694.753,661484.8083,1509693.645
661483.9003,1509694.973,661484.6534,1509693.899
661483.7188,1509695.175,661484.4914,1509694.145
661483.5191,1509695.395,661484.3241,1509694.384
661483.3015,1509695.596,661484.1496,1509694.615
661483.0658,1509695.797,661483.9661,1509694.839
661482.8482,1509695.999,661483.7754,1509695.057
661482.6306,1509696.2,661483.5775,1509695.271
661482.377,1509696.383,661483.3707,1509695.48
661482.1415,1509696.566,661483.1585,1509695.684
661481.9062,1509696.712,661482.9409,1509695.88
661481.6708,1509696.877,661482.7179,1509696.07
661481.4174,1509697.023,661482.4878,1509696.255
661481.1821,1509697.169,661482.2541,1509696.432
661480.9109,1509697.296,661482.015,1509696.602
661480.6576,1509697.424,661481.7742,1509696.765
661480.3864,1509697.551,661481.528,1509696.92
661480.1152,1509697.66,661481.2765,1509697.066
661479.808,1509697.769,661481.0196,1509697.205
